x,y,z,r,p,y
-3.11882,-10.4042,0.14993,10.4711,0.268389,-0.177424
-3.13056,-10.4074,0.13368,10.5913,1.15969,-0.39154
-3.13049,-10.3856,0.150828,10.5216,1.07236,0.138675
-3.11873,-10.3699,0.151926,10.4202,0.30718,-0.00854332
-3.11807,-10.3609,0.153813,10.4411,0.631491,0.146408
-3.11632,-10.361,0.158272,10.4726,0.648449,0.0919555
-3.11906,-10.3609,0.15985,10.5504,0.953373,0.19348
-3.11853,-10.3655,0.141215,10.5836,0.634261,-0.435761
-3.12428,-10.3683,0.150061,10.4387,0.816616,0.159124
-3.1216,-10.3714,0.154217,10.4764,0.748631,0.0351097
-3.1262,-10.3776,0.136602,10.5998,1.012,-0.474014
-3.12861,-10.3763,0.144792,10.4999,0.776062,0.108543
-3.12395,-10.3799,0.14995,10.445,0.458043,-0.0304774
-3.1173,-10.3797,0.150311,10.4075,0.175932,-0.167256
-3.11786,-10.3861,0.156148,10.5391,0.643116,0.0631128
-3.12021,-10.3958,0.16081,10.5199,0.624506,0.0758225
-3.12184,-10.4011,0.164145,10.5328,0.514563,0.0235238
-3.11931,-10.3997,0.161729,10.4838,0.416247,-0.00884633
