x,y,z,r,p,y
-2.66947,-8.76493,0.128073,74.5673,0.910949,0.241768
-2.69103,-8.81495,0.129942,74.4865,0.871434,0.147201
-2.70399,-8.86312,0.134349,74.5254,0.876113,0.404543
-2.72006,-8.90908,0.134731,74.4625,0.971264,0.48545
-2.73501,-8.95807,0.125571,74.4917,1.10413,0.381807
-2.74239,-8.99856,0.128717,74.506,0.99597,0.278294
-2.75166,-9.03962,0.129656,74.6557,1.08263,0.503115
-2.76263,-9.08004,0.133224,74.7302,0.875278,0.184605
-2.77268,-9.12505,0.140235,74.698,0.888178,0.36667
-2.78387,-9.16592,0.14259,74.5691,0.916927,0.455853
-2.79917,-9.20457,0.142929,74.2624,0.921018,0.433064
-2.81258,-9.24606,0.144244,74.1241,0.951583,0.599143
-2.82372,-9.28261,0.143057,73.9928,0.86323,0.586049
-2.83486,-9.31811,0.133308,74.0031,1.03632,0.444487
-2.84649,-9.34609,0.135709,73.9362,0.946243,0.574109
-2.85748,-9.3785,0.139967,73.9294,0.851814,0.453893
-2.86515,-9.40546,0.140943,73.91,0.942102,0.611256
-2.86813,-9.42744,0.140088,74.0393,0.898254,0.468908
-2.87645,-9.45608,0.143257,74.1146,0.88936,0.578628
-2.88679,-9.48826,0.143247,74.2407,0.827945,0.436826
-2.89482,-9.52454,0.134952,74.4781,0.991383,0.482573
-2.90194,-9.55767,0.13928,74.7276,0.881043,0.51143
-2.91121,-9.59519,0.131862,74.9981,0.903741,0.221951
-2.92137,-9.62676,0.137813,74.9588,0.859542,0.31612
-2.92929,-9.6575,0.136593,74.8063,0.882273,0.149018
-2.93624,-9.68931,0.137007,74.6361,0.880532,0.220124
-2.94379,-9.71634,0.141475,74.5029,0.829691,0.238747
-2.95019,-9.74151,0.143317,74.7057,0.826142,0.228977
-2.95997,-9.76551,0.145555,74.8302,0.864181,0.342316
-2.96335,-9.78921,0.143545,75.0919,0.841,0.1877
-2.97344,-9.81471,0.141761,75.1729,0.881285,0.396302
-2.98029,-9.83998,0.140981,74.9531,0.887985,0.123355
-2.9904,-9.87324,0.139862,74.7927,0.938495,0.304664
-3.00018,-9.90201,0.142263,74.5042,0.960117,0.297005
-3.0079,-9.93088,0.131735,74.6892,1.02901,0.1438
-3.01155,-9.94641,0.137182,74.7197,0.957443,0.220494
-3.01411,-9.9682,0.138855,74.9141,0.978886,0.116673
-3.01957,-9.99246,0.139301,75.1072,0.966969,0.0669058
-3.02847,-10.0189,0.132825,75.4086,1.06846,0.261892
-3.03502,-10.0447,0.13639,75.6734,0.999883,0.220999
-3.0415,-10.0667,0.142116,75.9205,1.01116,0.174992
-3.04816,-10.0889,0.141864,76.1745,1.10368,0.405177
-3.04986,-10.1054,0.145466,76.3744,1.00627,0.340574
-3.05099,-10.1196,0.149179,76.6462,1.00697,0.278047
-3.05499,-10.1336,0.1504,76.8727,1.13681,0.408451
-3.05696,-10.1492,0.148607,77.1416,1.14682,0.278396
-3.05853,-10.1682,0.146773,77.5092,1.14088,0.342173
-3.06349,-10.187,0.14622,77.7396,1.15582,0.360871
-3.06568,-10.2033,0.136226,78.0401,1.21742,0.12479
-3.06764,-10.2182,0.134063,78.3171,1.13698,0.0452819
-3.07078,-10.2314,0.133235,78.5179,1.20772,0.12561
-3.07525,-10.2355,0.133378,78.6814,1.10907,0.249691
-3.07883,-10.2463,0.125288,78.838,1.28115,0.109722
-3.08284,-10.2587,0.130405,79.1174,1.2201,0.235072
-3.08848,-10.2713,0.123661,79.5399,1.32696,0.187854
-3.08783,-10.2777,0.130962,79.7086,1.17228,0.148486
-3.0918,-10.2867,0.13878,79.9723,1.17187,0.264741
-3.09532,-10.2959,0.134545,80.2546,1.2616,0.416093
-3.09405,-10.3077,0.135757,80.4021,1.1305,0.0799561
-3.09231,-10.3193,0.139548,80.6255,1.13213,0.216217
-3.095,-10.3289,0.143049,80.5977,1.13273,0.152197
-3.09855,-10.336,0.143479,80.7418,1.14172,0.348477
-3.09667,-10.3408,0.142973,80.8373,1.09543,0.259267
-3.09758,-10.3484,0.140713,80.8886,1.15804,0.329907
-3.09888,-10.3576,0.141632,80.9943,1.07824,0.271343
-3.10117,-10.3696,0.135054,81.0801,1.2167,0.295919
-3.10137,-10.3803,0.138312,80.8984,1.13108,0.153551
-3.10421,-10.3903,0.14151,80.6893,1.15718,0.228197
-3.10795,-10.4015,0.142877,80.3692,1.16752,0.373646
-3.10784,-10.4023,0.141639,79.7265,1.10324,0.11856
-3.10547,-10.3974,0.132156,78.5399,1.2463,0.0829993
-3.1065,-10.3954,0.137965,76.0742,1.03077,0.0288396
-3.10254,-10.3931,0.143974,73.9261,1.09791,0.286794
-3.10323,-10.3947,0.14508,72.2012,1.02403,-0.073293
-3.10657,-10.3939,0.150134,70.6385,1.08339,0.109901
-3.10839,-10.3938,0.154585,68.9495,1.03216,0.092041
-3.11,-10.395,0.145354,67.118,1.24519,0.174188
-3.11001,-10.3913,0.151321,65.459,0.982975,-0.0241592
-3.10428,-10.3936,0.152701,63.8281,0.850923,-0.171156
-3.10826,-10.3927,0.15685,62.0822,0.917653,0.044425
-3.10628,-10.3912,0.162397,60.4856,0.834752,-0.1409
-3.10653,-10.3924,0.163284,58.7123,0.811589,-0.242469
